algorithm,scenario,trial,duration_seconds,seed,admission_rate,good_avg_latency_us,good_p99_latency_us,good_p50_latency_us,noisy_avg_latency_us,noisy_p99_latency_us,fairness_score,total_throughput,noisy_share,good_throughput,noisy_throughput,throttled_requests,cache_utilization
No Control (Baseline),5T_25x_Noisy,21,0.0013070106506347656,113,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,22,0.001775979995727539,114,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_25x_Noisy,23,0.0013692378997802734,115,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,24,0.0013699531555175781,116,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_25x_Noisy,25,0.0014910697937011719,117,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09765625
No Control (Baseline),5T_25x_Noisy,26,0.0014252662658691406,118,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_25x_Noisy,27,0.001306772232055664,119,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.099609375
No Control (Baseline),5T_25x_Noisy,28,0.0013549327850341797,120,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,29,0.0013508796691894531,121,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,30,0.0018930435180664062,122,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,31,0.0019431114196777344,123,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
No Control (Baseline),5T_25x_Noisy,32,0.0013680458068847656,124,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0986328125
