algorithm,scenario,trial,duration_seconds,seed,avg_throughput_gbps,min_throughput_gbps,max_throughput_gbps,deadlock_fraction,recovery_time_us,packets_forwarded,packets_dropped_ttl,packets_dropped_overflow,collateral_drops,deadlock_occurred,recovered
No Timeout (Baseline),Ring3_Severe,44,1.224452018737793,136,22.387199999999996,0.0,1119.36,0.98,0.0,9328.0,0.0,123501.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,45,1.2067432403564453,137,21.2664,0.0,1063.32,0.98,0.0,8861.0,0.0,123399.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,46,1.2570881843566895,138,23.4696,0.0,1173.48,0.98,0.0,9779.0,0.0,123563.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,47,1.2707717418670654,139,22.471199999999996,0.0,1123.56,0.98,0.0,9363.0,0.0,123341.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,48,1.2052738666534424,140,22.135199999999998,0.0,1106.76,0.98,0.0,9223.0,0.0,123594.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_Severe,49,1.2303569316864014,141,22.0992,0.0,1104.96,0.98,0.0,9208.0,0.0,123410.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,0,1.197234869003296,142,15.400799999999998,0.0,770.04,0.98,0.0,6417.0,0.0,122188.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,1,1.231421947479248,143,15.2544,0.0,762.72,0.98,0.0,6356.0,0.0,122626.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,2,1.2462432384490967,144,13.197599999999998,0.0,659.8799999999999,0.98,0.0,5499.0,0.0,122184.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,3,1.2068369388580322,145,13.6608,0.0,683.04,0.98,0.0,5692.0,0.0,122147.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,4,1.2309799194335938,146,10.1664,0.0,508.32,0.98,0.0,4236.0,0.0,122122.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,5,1.2030599117279053,147,11.498399999999998,0.0,574.92,0.98,0.0,4791.0,0.0,122396.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,6,1.2110397815704346,148,12.3672,0.0,618.36,0.98,0.0,5153.0,0.0,122497.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,7,1.2072398662567139,149,9.0288,0.0,451.44000000000005,0.98,0.0,3762.0,0.0,122309.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,8,1.2679123878479004,150,11.138399999999997,0.0,556.92,0.98,0.0,4641.0,0.0,122424.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,9,1.4314000606536865,151,10.4904,0.0,524.52,0.98,0.0,4371.0,0.0,122224.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,10,1.2172620296478271,152,12.96,0.0,648.0,0.98,0.0,5400.0,0.0,122163.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,11,1.1837329864501953,153,10.8096,0.0,540.48,0.98,0.0,4504.0,0.0,122141.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,12,1.1851418018341064,154,11.94,0.0,597.0,0.98,0.0,4975.0,0.0,122234.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,13,1.1729581356048584,155,11.726400000000002,0.0,586.32,0.98,0.0,4886.0,0.0,122239.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,14,1.3215858936309814,156,10.514400000000002,0.0,525.72,0.98,0.0,4381.0,0.0,122549.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,15,1.2341132164001465,157,13.116,0.0,655.8,0.98,0.0,5465.0,0.0,122498.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,16,1.2141790390014648,158,11.3304,0.0,566.52,0.98,0.0,4721.0,0.0,122622.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,17,1.2074661254882812,159,11.961599999999999,0.0,598.0799999999999,0.98,0.0,4984.0,0.0,122511.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,18,1.2046270370483398,160,9.679200000000002,0.0,483.96000000000004,0.98,0.0,4033.0,0.0,122499.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,19,1.2109289169311523,161,12.7728,0.0,638.64,0.98,0.0,5322.0,0.0,122725.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,20,1.2925622463226318,162,13.62,0.0,681.0,0.98,0.0,5675.0,0.0,122280.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,21,1.2425131797790527,163,10.041599999999999,0.0,502.0799999999999,0.98,0.0,4184.0,0.0,122209.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,22,1.3726282119750977,164,11.7024,0.0,585.12,0.98,0.0,4876.0,0.0,122189.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,23,1.2371289730072021,165,12.374400000000001,0.0,618.72,0.98,0.0,5156.0,0.0,122266.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,24,1.2216298580169678,166,11.577599999999999,0.0,578.88,0.98,0.0,4824.0,0.0,122225.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,25,1.2054121494293213,167,12.763200000000001,0.0,638.1600000000001,0.98,0.0,5318.0,0.0,122431.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,26,1.201158046722412,168,11.738399999999999,0.0,586.92,0.98,0.0,4891.0,0.0,122070.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,27,1.2908618450164795,169,13.262400000000001,0.0,663.12,0.98,0.0,5526.0,0.0,122314.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,28,1.213015079498291,170,13.3104,0.0,665.52,0.98,0.0,5546.0,0.0,122189.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,29,1.2312309741973877,171,11.611199999999998,0.0,580.56,0.98,0.0,4838.0,0.0,122533.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,30,1.363811731338501,172,11.493599999999999,0.0,574.68,0.98,0.0,4789.0,0.0,122428.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,31,1.2182250022888184,173,12.996,0.0,649.8000000000001,0.98,0.0,5415.0,0.0,122233.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,32,1.1967449188232422,174,12.36,0.0,618.0,0.98,0.0,5150.0,0.0,122258.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,33,1.2480790615081787,175,13.8672,0.0,693.36,0.98,0.0,5778.0,0.0,122178.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,34,1.4433600902557373,176,11.918399999999998,0.0,595.92,0.98,0.0,4966.0,0.0,122366.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,35,1.2575750350952148,177,13.178400000000002,0.0,658.9200000000001,0.98,0.0,5491.0,0.0,122379.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,36,1.262686014175415,178,12.496799999999999,0.0,624.8399999999999,0.98,0.0,5207.0,0.0,122039.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,37,1.2242577075958252,179,11.788800000000002,0.0,589.44,0.98,0.0,4912.0,0.0,122375.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,38,1.23866605758667,180,12.914400000000002,0.0,645.72,0.98,0.0,5381.0,0.0,122241.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,39,1.3265793323516846,181,13.548000000000002,0.0,677.4000000000001,0.98,0.0,5645.0,0.0,122467.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,40,1.2352278232574463,182,13.387199999999996,0.0,669.3599999999999,0.98,0.0,5578.0,0.0,122364.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,41,1.197119951248169,183,12.938400000000001,0.0,646.9200000000001,0.98,0.0,5391.0,0.0,122179.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,42,1.1903390884399414,184,12.086400000000001,0.0,604.32,0.98,0.0,5036.0,0.0,122189.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,43,1.1938047409057617,185,12.578400000000002,0.0,628.9200000000001,0.98,0.0,5241.0,0.0,122401.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,44,1.192173719406128,186,12.326399999999998,0.0,616.3199999999999,0.98,0.0,5136.0,0.0,122241.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,45,1.4790141582489014,187,9.8928,0.0,494.64,0.98,0.0,4122.0,0.0,122392.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,46,1.220534086227417,188,13.6608,0.0,683.04,0.98,0.0,5692.0,0.0,122372.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,47,1.244920015335083,189,12.777599999999998,0.0,638.88,0.98,0.0,5324.0,0.0,122514.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,48,1.2552330493927002,190,12.1272,0.0,606.36,0.98,0.0,5053.0,0.0,122452.0,0.0,0.0,0.0
No Timeout (Baseline),Ring3_SmallBuffer,49,1.4209420680999756,191,13.6944,0.0,684.72,0.98,0.0,5706.0,0.0,122388.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,0,1.5788960456848145,192,44.4528,0.0,2222.6400000000003,0.98,0.0,18522.0,0.0,154220.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,1,1.5843770503997803,193,44.16239999999999,0.0,2208.12,0.98,0.0,18401.0,0.0,154086.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,2,1.5410950183868408,194,45.5832,0.0,2279.16,0.98,0.0,18993.0,0.0,154398.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,3,1.5241241455078125,195,44.28,0.0,2214.0,0.98,0.0,18450.0,0.0,153907.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,4,1.5616178512573242,196,45.945600000000006,0.0,2297.28,0.98,0.0,19144.0,0.0,154169.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,5,1.9918200969696045,197,48.084,0.0,2404.2,0.98,0.0,20035.0,0.0,154303.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,6,1.7081091403961182,198,50.676,0.0,2533.8,0.98,0.0,21115.0,0.0,154063.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,7,1.6617341041564941,199,45.4752,0.0,2273.76,0.98,0.0,18948.0,0.0,153722.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,8,1.5607130527496338,200,48.501599999999996,0.0,2425.08,0.98,0.0,20209.0,0.0,154175.0,0.0,0.0,0.0
No Timeout (Baseline),Ring4_Moderate,9,1.7085821628570557,201,40.164,0.0,2008.2,0.98,0.0,16735.0,0.0,153960.0,0.0,0.0,0.0
