algorithm,scenario,trial,duration_seconds,seed,completion_rate,crash_rate,jobs_completed,jobs_crashed,avg_utilization,max_utilization,avg_remote_fraction,remote_job_fraction,avg_exec_time_us,p99_exec_time_us,avg_stranded_memory_gb
Balanced Borrow (Invention),8N_50pct_Frag,11,0.008788108825683594,603,1.0,0.0,100.0,0.0,0.6281765686970511,0.9487570790660453,0.04035104414225941,0.09,1059.22,1875.2,2.044552873833688
Balanced Borrow (Invention),8N_50pct_Frag,12,0.00890803337097168,604,1.0,0.0,100.0,0.0,0.6120564236803328,0.8717225390724919,0.056901897992981176,0.12,1056.96,2342.1400000000026,1.7316201041936894
Balanced Borrow (Invention),8N_50pct_Frag,13,0.008922100067138672,605,1.0,0.0,97.0,0.0,0.6167993049412884,0.8711276611727182,0.06497357442598936,0.09278350515463918,1067.3092783505156,2144.3199999999983,0.9443735246862643
Balanced Borrow (Invention),8N_50pct_Frag,14,0.008843660354614258,606,0.9896907216494846,0.0,96.0,0.0,0.6129537082070091,0.8993957068910887,0.039865821623961545,0.07291666666666667,1044.2604166666667,2272.7,1.8970734989420885
Balanced Borrow (Invention),8N_50pct_Frag,15,0.008787870407104492,607,1.0,0.0,100.0,0.0,0.6212387819552119,0.9710149237558934,0.038621976198365264,0.1,1044.18,1601.880000000001,0.11257938224269458
Balanced Borrow (Invention),8N_50pct_Frag,16,0.008829832077026367,608,1.0,0.0,100.0,0.0,0.6289932637305358,0.9380513102023279,0.04126582320942362,0.08,1055.92,1798.5500000000009,1.971592342973728
Balanced Borrow (Invention),8N_50pct_Frag,17,0.00875711441040039,609,1.0,0.0,100.0,0.0,0.6236226288069736,0.9353539355120819,0.04081688810831708,0.1,1076.46,2135.04,2.3695614299291736
Balanced Borrow (Invention),8N_50pct_Frag,18,0.008836984634399414,610,1.0,0.0,100.0,0.0,0.6158579458488652,0.9336967352670293,0.030747034357727358,0.06,1014.55,1948.9500000000014,2.5327201556249803
Balanced Borrow (Invention),8N_50pct_Frag,19,0.00869131088256836,611,0.989247311827957,0.0,92.0,0.0,0.6172617073075786,0.898684987544411,0.021853834047464337,0.06521739130434782,1024.7065217391305,1496.9000000000003,0.5552566357551
Balanced Borrow (Invention),8N_50pct_Frag,20,0.008883237838745117,612,1.0,0.0,92.0,0.0,0.6147474964202287,1.007341047392809,0.030145979874434993,0.06521739130434782,1037.4891304347825,2144.1200000000003,1.1745885160224556
Balanced Borrow (Invention),8N_50pct_Frag,21,0.008687973022460938,613,0.98,0.0,98.0,0.0,0.6178585556051923,0.9379001850701143,0.02247156237794297,0.061224489795918366,992.2244897959183,1760.4400000000005,2.298957693596812
Balanced Borrow (Invention),8N_50pct_Frag,22,0.008938074111938477,614,0.9693877551020408,0.0,95.0,0.0,0.6139417137497066,0.932196603921494,0.03163502824052973,0.06315789473684211,1029.5473684210526,1961.8000000000004,3.2849939584273127
Balanced Borrow (Invention),8N_50pct_Frag,23,0.008754968643188477,615,0.968421052631579,0.0,92.0,0.0,0.6035584981006786,0.8790061447957225,0.04707100671886928,0.09782608695652174,1035.9891304347825,2279.5200000000013,2.454753017681383
Balanced Borrow (Invention),8N_50pct_Frag,24,0.008750200271606445,616,1.0,0.0,100.0,0.0,0.6263597790555825,0.9134213462908342,0.05192308911932056,0.1,1084.6,2083.6400000000003,1.5002753684987165
Balanced Borrow (Invention),8N_50pct_Frag,25,0.00905609130859375,617,1.0,0.0,100.0,0.0,0.6215944328018776,0.9842862346300132,0.020118271715403542,0.06,1032.48,1867.7600000000014,2.4081822505755373
Balanced Borrow (Invention),8N_50pct_Frag,26,0.008733034133911133,618,1.0,0.0,100.0,0.0,0.61269338420768,0.9705364825967091,0.06270119622519735,0.11,1035.58,2106.960000000001,2.71842241569422
Balanced Borrow (Invention),8N_50pct_Frag,27,0.009042024612426758,619,0.9696969696969697,0.0,96.0,0.0,0.622277934849381,1.0388607688730749,0.029794939443532394,0.07291666666666667,1018.21875,1592.5499999999981,0.9521888635520983
Balanced Borrow (Invention),8N_50pct_Frag,28,0.008899211883544922,620,0.9787234042553191,0.0,92.0,0.0,0.6102921345277924,0.8220014245291807,0.04820759113585245,0.08695652173913043,1062.0978260869565,2173.8700000000003,3.569709842121458
Balanced Borrow (Invention),8N_50pct_Frag,29,0.008559226989746094,621,0.9772727272727273,0.0,86.0,0.0,0.6073245202456898,0.8982320737731049,0.02995483154156042,0.06976744186046512,989.7674418604652,2040.6000000000022,2.474159769908164
Balanced Borrow (Invention),8N_50pct_Frag,30,0.008404016494750977,622,0.967032967032967,0.0,88.0,0.0,0.6059487454615208,0.8684528353790688,0.029764241866423194,0.07954545454545454,982.5568181818181,1441.7699999999995,2.658374708200002
Balanced Borrow (Invention),8N_50pct_Frag,31,0.009006977081298828,623,0.9896907216494846,0.0,96.0,0.0,0.623820017591272,1.0150322706637924,0.03479901823693252,0.09375,1067.5104166666667,1514.449999999999,0.7212864988700772
Balanced Borrow (Invention),8N_50pct_Frag,32,0.008633852005004883,624,1.0,0.0,100.0,0.0,0.6325126200844343,1.0443056799450563,0.02734839741158941,0.09,1064.91,1577.4100000000024,0.9085152849632521
Balanced Borrow (Invention),8N_50pct_Frag,33,0.008565187454223633,625,0.9411764705882353,0.0,80.0,0.0,0.5972973769684891,0.8562512121661263,0.04272939163111579,0.1125,1033.2875,1981.4799999999982,2.1910762718935977
Balanced Borrow (Invention),8N_50pct_Frag,34,0.00843501091003418,626,1.0,0.0,92.0,0.0,0.6083215487253147,0.9233478312627619,0.0334481905421508,0.07608695652173914,1031.6304347826087,1885.6300000000003,1.5747389581712674
Balanced Borrow (Invention),8N_50pct_Frag,35,0.008497953414916992,627,0.99,0.0,99.0,0.0,0.6216298259092012,1.1299706295551388,0.02466357818083402,0.0707070707070707,1017.7575757575758,1753.1799999999994,2.5620050962312426
Balanced Borrow (Invention),8N_50pct_Frag,36,0.008936882019042969,628,0.99,0.0,99.0,0.0,0.6247050643811451,1.0736313261858763,0.03763346482676109,0.09090909090909091,1031.858585858586,1873.7199999999993,2.71868785065801
Balanced Borrow (Invention),8N_50pct_Frag,37,0.008991003036499023,629,1.0,0.0,100.0,0.0,0.6227725462117503,0.942528545819505,0.024059641723190285,0.06,1028.6,1450.150000000001,2.533672806586141
